Order_ID,Order_Date,SKU,Product_Name,Customer_Region,Warehouse_ID,Quantity_Sold,Unit_Price,Unit_Cost,Order_Status
SO-500399,2025-09-13,SKU-1005,Polyethylene Pellets,Kalimantan,WH-MDN,174.0,282.47,182.84,Delivered
SO-500611,2025-12-23,SKU-1029,Hydraulic Pump Seal,Bali & Nusa Tenggara,WH-JKT,121.0,49.09,36.34,Delivered
SO-500019,2025-05-06,SKU-1002,Pvc Resin,Sulawesi,WH-MDN,42.0,81.83,50.91,Delivered
SO-500309,2025-06-10,SKU-1026,Wireless Mouse,Central Java,WH-MDN,216.0,331.23,196.98,Delivered
SO-500168,2025-07-10,SKU-1006,Stainless Steel Rod,Sulawesi,WH-SBY,35.0,63.49,49.28,Delivered
SO-500077,2025-11-09,SKU-1003,Cotton Yarn,Bali & Nusa Tenggara,WH-JKT,111.0,254.26,190.06,Delivered
SO-500553,2025-01-10,SKU-1032,Motor Bracket Assembly,Bali & Nusa Tenggara,WH-MDN,188.0,377.86,216.37,Delivered
SO-500200,2025-11-20,SKU-1026,Wireless Mouse,Bali & Nusa Tenggara,WH-SMG,145.0,331.23,196.98,Delivered
SO-500550,2025-03-18,SKU-1026,Wireless Mouse,Sulawesi,WH-JKT,130.0,331.23,196.98,Delivered
SO-500490,2025-02-22,SKU-1005,Polyethylene Pellets,East Java,WH-JKT,193.0,282.47,182.84,Delivered
SO-500473,2025-12-02,SKU-1016,Foam Insert Sheet,Kalimantan,WH-SBY,72.0,99.51,74.43,Delivered
SO-500464,2025-10-21,SKU-1007,Rubber Compound,East Java,WH-JKT,283.0,316.36,216.82,Delivered
SO-500634,2025-01-14,SKU-1043,Machine Coolant 5L,East Java,WH-MDN,137.0,39.5,30.18,Delivered
SO-500006,2025-01-20,SKU-1015,Poly Mailer Bag,Sulawesi,WH-JKT,227.0,223.93,170.55,Delivered
SO-500401,2025-10-18,SKU-1042,Hydraulic Oil Iso 46,East Java,WH-MDN,28.0,170.97,110.39,Delivered
SO-500543,2025-10-09,SKU-1033,Gear Set Helical,West Java,WH-SBY,241.0,389.75,231.74,Delivered
SO-500540,2025-11-05,SKU-1042,Hydraulic Oil Iso 46,Central Java,WH-JKT,172.0,170.97,110.39,Delivered
SO-500356,2025-04-25,SKU-1043,Machine Coolant 5L,Bali & Nusa Tenggara,WH-JKT,16.0,39.5,30.18,Returned
SO-500336,2025-01-04,SKU-1014,Carton Tape 48Mm,Sumatra,WH-SMG,125.0,218.82,149.71,Delivered
SO-500564,2025-06-19,SKU-1000,Steel Coil 2Mm,Central Java,WH-MKS,71.0,10.82,7.72,Delivered
SO-500585,2025-10-04,SKU-1043,Machine Coolant 5L,Kalimantan,WH-SMG,149.0,39.5,30.18,Delivered
SO-500532,2025-02-13,SKU-1044,Conveyor Belt Roller,West Java,WH-MKS,263.0,83.28,52.09,Delivered
SO-500636,2025-04-24,SKU-1020,Office Chair Ergonomic,Kalimantan,WH-MKS,248.0,64.64,37.3,Delivered
SO-500366,2025-03-31,SKU-1035,Led Driver 12V,Sulawesi,WH-MDN,258.0,24.69,15.71,Delivered
SO-500081,2025-08-21,SKU-1042,Hydraulic Oil Iso 46,Kalimantan,WH-JKT,124.0,170.97,110.39,Delivered
SO-500110,2025-07-17,SKU-1023,Bluetooth Speaker Mini,Sumatra,WH-SBY,23.0,273.05,168.61,Delivered
SO-500166,2025-12-07,SKU-1019,Cordless Drill 18V,East Java,WH-SMG,83.0,372.99,245.59,Delivered
SO-500170,2025-08-05,SKU-1040,Air Filter Cartridge,East Java,WH-JKT,164.0,207.59,115.38,Delivered
SO-500639,2025-10-14,SKU-1015,Poly Mailer Bag,Kalimantan,WH-SBY,176.0,223.93,170.55,Delivered
SO-500070,2025-09-09,SKU-1045,Spare Fuse 10A,Bali & Nusa Tenggara,WH-JKT,11.0,271.48,159.12,Delivered
SO-500008,2025-04-08,SKU-1034,Pressure Valve 1/2In,West Java,WH-SMG,228.0,56.49,39.97,Delivered
SO-500406,2025-12-19,SKU-1008,Silicone Sealant Bulk,Sulawesi,WH-JKT,182.0,145.32,89.78,Delivered
SO-500378,2025-11-29,SKU-1032,Motor Bracket Assembly,East Java,WH-SMG,138.0,377.86,216.37,Delivered
SO-500363,2025-04-30,SKU-1017,Label Roll Thermal,East Java,WH-MKS,300.0,291.85,190.85,Delivered
SO-500185,2025-03-12,SKU-1013,Pallet Wood Standard,East Java,WH-SMG,172.0,224.95,135.44,Delivered
SO-500276,2025-05-09,SKU-1005,Polyethylene Pellets,Kalimantan,WH-SBY,287.0,282.47,182.84,Delivered
SO-500326,2025-11-30,SKU-1005,Polyethylene Pellets,Central Java,WH-MKS,278.0,282.47,182.84,Delivered
SO-500324,2025-03-22,SKU-1033,Gear Set Helical,Kalimantan,WH-MDN,248.0,389.75,231.74,Delivered
SO-500359,2025-02-27,SKU-1043,Machine Coolant 5L,Bali & Nusa Tenggara,WH-JKT,219.0,39.5,30.18,Delivered
SO-500500,2025-02-06,SKU-1036,Rubber Gasket Set,West Java,WH-MKS,189.0,28.95,21.41,Delivered
SO-500086,2025-09-14,SKU-1016,Foam Insert Sheet,Sumatra,WH-MKS,229.0,99.51,74.43,Delivered
SO-500179,2025-11-02,SKU-1034,Pressure Valve 1/2In,West Java,WH-JKT,84.0,56.49,39.97,Delivered
SO-500398,2025-09-01,SKU-1033,Gear Set Helical,Kalimantan,WH-JKT,9.0,389.75,231.74,Delivered
SO-500188,2025-01-22,SKU-1044,Conveyor Belt Roller,West Java,WH-MDN,240.0,83.28,52.09,Delivered
SO-500305,2025-06-07,SKU-1035,Led Driver 12V,Sulawesi,WH-JKT,247.0,24.69,15.71,Delivered
SO-500225,2025-04-13,SKU-1010,Corrugated Box Medium,Central Java,WH-MKS,133.0,294.1,171.63,Delivered
SO-500014,2025-01-01,SKU-1033,Gear Set Helical,East Java,WH-SMG,112.0,389.75,231.74,Delivered
SO-500062,2025-12-06,SKU-1018,Strapping Band Pp,East Java,WH-MKS,247.0,74.14,50.93,Delivered
SO-500392,2025-05-21,SKU-1031,Lithium Battery Cell 18650,East Java,WH-MKS,13.0,426.33,242.3,Delivered
SO-500441,2025-03-01,SKU-1005,Polyethylene Pellets,East Java,WH-SBY,164.0,282.47,182.84,Delivered
SO-500120,2025-04-03,SKU-1041,Cutting Tool Insert,Central Java,WH-SBY,45.0,49.63,34.42,Delivered
SO-500040,2025-07-14,SKU-1045,Spare Fuse 10A,Bali & Nusa Tenggara,WH-SMG,220.0,271.48,159.12,Delivered
SO-500119,2025-08-09,SKU-1022,Stainless Steel Bottle 1L,Central Java,WH-SBY,276.0,243.11,177.91,Delivered
SO-500566,2025-02-26,SKU-1009,Timber Plank Oak,Bali & Nusa Tenggara,WH-MKS,0.0,244.78,182.69,Cancelled
SO-500058,2025-12-26,SKU-1036,Rubber Gasket Set,Sulawesi,WH-SMG,10.0,28.95,21.41,Delivered
SO-500602,2025-06-16,SKU-1033,Gear Set Helical,Sulawesi,WH-SMG,239.0,389.75,231.74,Delivered
SO-500114,2025-12-12,SKU-1020,Office Chair Ergonomic,Sumatra,WH-MKS,167.0,64.64,37.3,Delivered
SO-500280,2025-02-11,SKU-1001,Aluminum Sheet 3Mm,Kalimantan,WH-JKT,300.0,187.89,148.24,Delivered
SO-500089,2025-05-18,SKU-1041,Cutting Tool Insert,West Java,WH-MKS,94.0,49.63,34.42,Delivered
SO-500027,2025-09-24,SKU-1016,Foam Insert Sheet,Kalimantan,WH-MDN,127.0,99.51,74.43,Delivered
SO-500260,2025-08-16,SKU-1022,Stainless Steel Bottle 1L,Sulawesi,WH-JKT,75.0,243.11,177.91,Delivered
SO-500167,2025-02-04,SKU-1028,Ball Bearing 6205,Bali & Nusa Tenggara,WH-JKT,48.0,145.89,101.55,Delivered
SO-500183,2025-10-31,SKU-1041,Cutting Tool Insert,Sulawesi,WH-MDN,162.0,49.63,34.42,Delivered
SO-500646,2025-06-20,SKU-1029,Hydraulic Pump Seal,East Java,WH-SBY,34.0,49.09,36.34,Delivered
SO-500198,2025-10-24,SKU-1034,Pressure Valve 1/2In,Kalimantan,WH-MDN,106.0,56.49,39.97,Delivered
SO-500427,2025-07-21,SKU-1016,Foam Insert Sheet,West Java,WH-SMG,293.0,99.51,74.43,Delivered
SO-500112,2025-01-08,SKU-1027,Standing Desk Converter,Sumatra,WH-SBY,84.0,268.34,178.08,Delivered
SO-500495,2025-06-29,SKU-1023,Bluetooth Speaker Mini,East Java,WH-MDN,76.0,273.05,168.61,Delivered
SO-500253,2025-02-22,SKU-1019,Cordless Drill 18V,East Java,WH-JKT,156.0,372.99,245.59,Delivered
SO-500034,2025-10-03,SKU-1024,Electric Kettle 1.7L,Bali & Nusa Tenggara,WH-MKS,117.0,67.61,42.33,Delivered
SO-500206,2025-02-22,SKU-1026,Wireless Mouse,Kalimantan,WH-SMG,48.0,331.23,196.98,Delivered
SO-500600,2025-08-11,SKU-1041,Cutting Tool Insert,Bali & Nusa Tenggara,WH-SBY,80.0,49.63,34.42,Delivered
SO-500615,2025-02-03,SKU-1010,Corrugated Box Medium,Kalimantan,WH-SMG,184.0,294.1,171.63,Delivered
SO-500579,2025-09-03,SKU-1006,Stainless Steel Rod,Kalimantan,WH-MKS,120.0,63.49,49.28,Delivered
SO-500328,2025-07-23,SKU-1002,Pvc Resin,Central Java,WH-MDN,153.0,81.83,50.91,Delivered
SO-500523,2025-06-17,SKU-1018,Strapping Band Pp,Sulawesi,WH-JKT,238.0,74.14,50.93,Delivered
SO-500123,2025-05-28,SKU-1027,Standing Desk Converter,Central Java,WH-MKS,42.0,268.34,178.08,Delivered
SO-500207,2025-01-21,SKU-1011,Corrugated Box Large,Kalimantan,WH-SBY,229.0,92.93,68.03,Returned
SO-500342,2025-08-30,SKU-1033,Gear Set Helical,Bali & Nusa Tenggara,WH-MKS,116.0,389.75,231.74,Delivered
SO-500304,2025-07-08,SKU-1001,Aluminum Sheet 3Mm,Kalimantan,WH-SMG,61.0,187.89,148.24,Returned
SO-500240,2025-10-06,SKU-1031,Lithium Battery Cell 18650,Bali & Nusa Tenggara,WH-MKS,264.0,426.33,242.3,Delivered
SO-500477,2025-07-08,SKU-1042,Hydraulic Oil Iso 46,Sumatra,WH-MDN,172.0,170.97,110.39,Delivered
SO-500582,2025-10-08,SKU-1004,Copper Wire Roll,East Java,WH-JKT,252.0,39.25,26.9,Delivered
SO-500587,2025-01-28,SKU-1009,Timber Plank Oak,West Java,WH-SMG,223.0,244.78,182.69,Delivered
SO-500408,2025-01-16,SKU-1019,Cordless Drill 18V,Bali & Nusa Tenggara,WH-SMG,235.0,372.99,245.59,Delivered
SO-500443,2025-12-23,SKU-1043,Machine Coolant 5L,East Java,WH-MDN,39.0,39.5,30.18,Delivered
SO-500197,2025-02-08,SKU-1039,Safety Gloves Nitrile,Bali & Nusa Tenggara,WH-SBY,257.0,89.25,67.51,Delivered
SO-500242,2025-01-09,SKU-1015,Poly Mailer Bag,Bali & Nusa Tenggara,WH-SMG,39.0,223.93,170.55,Delivered
SO-500586,2025-01-26,SKU-1006,Stainless Steel Rod,Sulawesi,WH-MDN,286.0,63.49,49.28,Delivered
SO-500049,2025-03-03,SKU-1036,Rubber Gasket Set,Bali & Nusa Tenggara,WH-MKS,26.0,28.95,21.41,Delivered
SO-500028,2025-05-27,SKU-1004,Copper Wire Roll,East Java,WH-SBY,176.0,39.25,26.9,Delivered
SO-500209,2025-07-18,SKU-1017,Label Roll Thermal,Bali & Nusa Tenggara,WH-MDN,178.0,291.85,190.85,Delivered
SO-500154,2025-05-09,SKU-1032,Motor Bracket Assembly,West Java,WH-SBY,18.0,377.86,216.37,Delivered
SO-500004,2025-02-05,SKU-1016,Foam Insert Sheet,East Java,WH-SMG,265.0,99.51,74.43,Delivered
SO-500134,2025-09-29,SKU-1022,Stainless Steel Bottle 1L,East Java,WH-MKS,89.0,243.11,177.91,Delivered
SO-500350,2025-04-22,SKU-1044,Conveyor Belt Roller,West Java,WH-MKS,28.0,83.28,52.09,Delivered
SO-500570,2025-07-02,SKU-1037,Timing Belt 120T,Kalimantan,WH-SBY,94.0,54.43,31.29,Delivered
SO-500117,2025-11-21,SKU-1006,Stainless Steel Rod,Sumatra,WH-JKT,90.0,63.49,49.28,Delivered
SO-500007,2025-08-12,SKU-1019,Cordless Drill 18V,Sulawesi,WH-MKS,64.0,372.99,245.59,Delivered
SO-500083,2025-03-18,SKU-1039,Safety Gloves Nitrile,Bali & Nusa Tenggara,WH-SMG,77.0,89.25,67.51,Delivered
SO-500021,2025-03-17,SKU-1014,Carton Tape 48Mm,Bali & Nusa Tenggara,WH-JKT,59.0,218.82,149.71,Delivered
SO-500079,2025-03-22,SKU-1004,Copper Wire Roll,Sumatra,WH-JKT,235.0,39.25,26.9,Delivered
SO-500256,2025-02-08,SKU-1003,Cotton Yarn,East Java,WH-MDN,267.0,254.26,190.06,Delivered
SO-500367,2025-11-26,SKU-1021,Led Desk Lamp,Bali & Nusa Tenggara,WH-MDN,273.0,409.19,309.85,Delivered
SO-500598,2025-11-14,SKU-1041,Cutting Tool Insert,West Java,WH-SBY,234.0,49.63,34.42,Delivered
SO-500254,2025-08-07,SKU-1036,Rubber Gasket Set,Kalimantan,WH-SBY,232.0,28.95,21.41,Delivered
SO-500352,2025-01-17,SKU-1028,Ball Bearing 6205,Sumatra,WH-SMG,97.0,145.89,101.55,Delivered
SO-500626,2025-01-05,SKU-1036,Rubber Gasket Set,East Java,WH-SBY,161.0,28.95,21.41,Delivered
SO-500036,2025-07-27,SKU-1041,Cutting Tool Insert,Bali & Nusa Tenggara,WH-SBY,244.0,49.63,34.42,Delivered
SO-500319,2025-12-02,SKU-1026,Wireless Mouse,Kalimantan,WH-SMG,250.0,331.23,196.98,Delivered
SO-500596,2025-09-01,SKU-1014,Carton Tape 48Mm,West Java,WH-SMG,207.0,218.82,149.71,Delivered
SO-500211,2025-07-17,SKU-1041,Cutting Tool Insert,East Java,WH-SMG,81.0,49.63,34.42,Delivered
SO-500065,2025-03-03,SKU-1019,Cordless Drill 18V,Bali & Nusa Tenggara,WH-MKS,99.0,372.99,245.59,Delivered
SO-500191,2025-11-13,SKU-1010,Corrugated Box Medium,Bali & Nusa Tenggara,WH-MDN,190.0,294.1,171.63,Delivered
SO-500386,2025-10-07,SKU-1043,Machine Coolant 5L,Central Java,WH-MDN,282.0,39.5,30.18,Returned
SO-500149,2025-08-21,SKU-1007,Rubber Compound,Kalimantan,WH-JKT,113.0,316.36,216.82,Delivered
SO-500452,2025-07-20,SKU-1037,Timing Belt 120T,West Java,WH-MKS,183.0,54.43,31.29,Delivered
SO-500377,2025-10-10,SKU-1014,Carton Tape 48Mm,Bali & Nusa Tenggara,WH-SMG,149.0,218.82,149.71,Delivered
SO-500020,2025-10-22,SKU-1038,Industrial Lubricant 20L,Kalimantan,WH-SBY,201.0,257.33,164.86,Delivered
SO-500590,2025-07-23,SKU-1018,Strapping Band Pp,Sumatra,WH-MDN,140.0,74.14,50.93,Delivered
SO-500118,2025-01-24,SKU-1001,Aluminum Sheet 3Mm,Bali & Nusa Tenggara,WH-SMG,33.0,187.89,148.24,Delivered
SO-500157,2025-08-18,SKU-1028,Ball Bearing 6205,Sulawesi,WH-SMG,60.0,145.89,101.55,Delivered
SO-500633,2025-01-30,SKU-1014,Carton Tape 48Mm,Sumatra,WH-MKS,168.0,218.82,149.71,Delivered
SO-500066,2025-09-05,SKU-1044,Conveyor Belt Roller,Kalimantan,WH-SMG,273.0,83.28,52.09,Delivered
SO-500537,2025-08-19,SKU-1010,Corrugated Box Medium,East Java,WH-MDN,213.0,294.1,171.63,Delivered
SO-500017,2025-09-21,SKU-1017,Label Roll Thermal,East Java,WH-MKS,52.0,291.85,190.85,Delivered
SO-500228,2025-08-12,SKU-1009,Timber Plank Oak,Central Java,WH-JKT,235.0,244.78,182.69,Delivered
SO-500181,2025-11-07,SKU-1029,Hydraulic Pump Seal,Sumatra,WH-MDN,144.0,49.09,36.34,Delivered
SO-500213,2025-12-06,SKU-1042,Hydraulic Oil Iso 46,Central Java,WH-MDN,48.0,170.97,110.39,Delivered
SO-500218,2025-02-21,SKU-1017,Label Roll Thermal,Bali & Nusa Tenggara,WH-MKS,281.0,291.85,190.85,Delivered
SO-500354,2025-07-12,SKU-1023,Bluetooth Speaker Mini,Kalimantan,WH-JKT,281.0,273.05,168.61,Delivered
SO-500501,2025-07-18,SKU-1008,Silicone Sealant Bulk,Sumatra,WH-MKS,192.0,145.32,89.78,Delivered
SO-500410,2025-07-14,SKU-1040,Air Filter Cartridge,Bali & Nusa Tenggara,WH-JKT,156.0,207.59,115.38,Delivered
SO-500245,2025-08-26,SKU-1041,Cutting Tool Insert,Kalimantan,WH-MDN,98.0,49.63,34.42,Delivered
SO-500251,2025-12-21,SKU-1029,Hydraulic Pump Seal,East Java,WH-MDN,270.0,49.09,36.34,Delivered
SO-500101,2025-11-28,SKU-1007,Rubber Compound,Sumatra,WH-SBY,154.0,316.36,216.82,Delivered
SO-500295,2025-07-26,SKU-1045,Spare Fuse 10A,West Java,WH-SMG,210.0,271.48,159.12,Delivered
SO-500145,2025-02-20,SKU-1039,Safety Gloves Nitrile,Sulawesi,WH-MDN,213.0,89.25,67.51,Delivered
SO-500210,2025-11-20,SKU-1003,Cotton Yarn,West Java,WH-SMG,173.0,254.26,190.06,Delivered
SO-500026,2025-09-01,SKU-1010,Corrugated Box Medium,East Java,WH-MDN,131.0,294.1,171.63,Delivered
SO-500552,2025-12-03,SKU-1023,Bluetooth Speaker Mini,Central Java,WH-MDN,274.0,273.05,168.61,Delivered
SO-500139,2025-07-10,SKU-1038,Industrial Lubricant 20L,Kalimantan,WH-JKT,124.0,257.33,164.86,Delivered
SO-500558,2025-05-17,SKU-1014,Carton Tape 48Mm,Bali & Nusa Tenggara,WH-MKS,128.0,218.82,149.71,Delivered
SO-500192,2025-05-05,SKU-1006,Stainless Steel Rod,Sulawesi,WH-MDN,210.0,63.49,49.28,Delivered
SO-500357,2025-12-11,SKU-1027,Standing Desk Converter,Sumatra,WH-MKS,277.0,268.34,178.08,Delivered
SO-500180,2025-01-26,SKU-1037,Timing Belt 120T,East Java,WH-JKT,231.0,54.43,31.29,Delivered
SO-500650,2025-07-11,SKU-1012,Shrink Wrap Film,East Java,WH-JKT,276.0,174.97,99.81,Delivered
SO-500259,2025-11-06,SKU-1002,Pvc Resin,Kalimantan,WH-SBY,0.0,81.83,50.91,Cancelled
SO-500012,2025-06-01,SKU-1042,Hydraulic Oil Iso 46,Central Java,WH-MKS,103.0,170.97,110.39,Delivered
SO-500214,2025-11-26,SKU-1023,Bluetooth Speaker Mini,Bali & Nusa Tenggara,WH-SMG,70.0,273.05,168.61,Delivered
SO-500303,2025-09-18,SKU-1030,Circuit Board Rev C,Sumatra,WH-MKS,293.0,348.1,202.29,Delivered
SO-500380,2025-04-15,SKU-1019,Cordless Drill 18V,East Java,WH-SMG,216.0,372.99,245.59,Delivered
SO-500255,2025-06-30,SKU-1002,Pvc Resin,Sumatra,WH-MKS,145.0,81.83,50.91,Delivered
SO-500192,2025-05-05,SKU-1006,Stainless Steel Rod,Sulawesi,WH-MDN,210.0,63.49,49.28,Delivered
SO-500076,2025-06-02,SKU-1026,Wireless Mouse,Sumatra,WH-MKS,161.0,331.23,196.98,Delivered
SO-500005,2025-06-19,SKU-1032,Motor Bracket Assembly,West Java,WH-JKT,138.0,377.86,216.37,Delivered
SO-500237,2025-11-20,SKU-1001,Aluminum Sheet 3Mm,Sulawesi,WH-MKS,128.0,187.89,148.24,Delivered
SO-500270,2025-02-03,SKU-1005,Polyethylene Pellets,Sumatra,WH-SMG,250.0,282.47,182.84,Delivered
SO-500284,2025-08-14,SKU-1010,Corrugated Box Medium,Sumatra,WH-MDN,242.0,294.1,171.63,Delivered
SO-500069,2025-10-11,SKU-1003,Cotton Yarn,Kalimantan,WH-SMG,69.0,254.26,190.06,Delivered
SO-500035,2025-08-12,SKU-1016,Foam Insert Sheet,West Java,WH-MDN,204.0,99.51,74.43,Delivered
SO-500364,2025-06-14,SKU-1041,Cutting Tool Insert,East Java,WH-SBY,78.0,49.63,34.42,Returned
SO-500222,2025-05-26,SKU-1037,Timing Belt 120T,Central Java,WH-MDN,278.0,54.43,31.29,Delivered
SO-500144,2025-12-23,SKU-1044,Conveyor Belt Roller,Sumatra,WH-MKS,84.0,83.28,52.09,Delivered
SO-500084,2025-06-07,SKU-1010,Corrugated Box Medium,Kalimantan,WH-MKS,296.0,294.1,171.63,Delivered
SO-500374,2025-01-21,SKU-1036,Rubber Gasket Set,Central Java,WH-JKT,291.0,28.95,21.41,Delivered
SO-500307,2025-09-26,SKU-1010,Corrugated Box Medium,Bali & Nusa Tenggara,WH-MKS,199.0,294.1,171.63,Delivered
SO-500275,2025-12-30,SKU-1019,Cordless Drill 18V,East Java,WH-SBY,270.0,372.99,245.59,Delivered
SO-500015,2025-11-07,SKU-1035,Led Driver 12V,Sumatra,WH-SMG,231.0,24.69,15.71,Delivered
SO-500032,2025-10-27,SKU-1023,Bluetooth Speaker Mini,Bali & Nusa Tenggara,WH-JKT,299.0,273.05,168.61,Delivered
SO-500067,2025-04-10,SKU-1006,Stainless Steel Rod,Central Java,WH-SMG,189.0,63.49,49.28,Delivered
SO-500586,2025-01-26,SKU-1006,Stainless Steel Rod,Sulawesi,WH-MDN,286.0,63.49,49.28,Delivered
SO-500274,2025-03-05,SKU-1003,Cotton Yarn,Central Java,WH-MKS,160.0,254.26,190.06,Delivered
SO-500224,2025-05-25,SKU-1027,Standing Desk Converter,Sulawesi,WH-MDN,275.0,268.34,178.08,Delivered
SO-500186,2025-08-09,SKU-1029,Hydraulic Pump Seal,Central Java,WH-SBY,199.0,49.09,36.34,Delivered
SO-500608,2025-11-13,SKU-1009,Timber Plank Oak,Kalimantan,WH-MKS,210.0,244.78,182.69,Delivered
SO-500243,2025-12-03,SKU-1043,Machine Coolant 5L,Bali & Nusa Tenggara,WH-JKT,175.0,39.5,30.18,Delivered
SO-500436,2025-11-28,SKU-1041,Cutting Tool Insert,Bali & Nusa Tenggara,WH-MDN,0.0,49.63,34.42,Cancelled
SO-500194,2025-09-19,SKU-1004,Copper Wire Roll,Sulawesi,WH-JKT,266.0,39.25,26.9,Delivered
SO-500509,2025-11-08,SKU-1037,Timing Belt 120T,East Java,WH-JKT,94.0,54.43,31.29,Delivered
SO-500189,2025-10-22,SKU-1019,Cordless Drill 18V,Sulawesi,WH-MDN,212.0,372.99,245.59,Delivered
SO-500345,2025-04-14,SKU-1030,Circuit Board Rev C,Sulawesi,WH-MKS,61.0,348.1,202.29,Delivered
SO-500100,2025-02-17,SKU-1024,Electric Kettle 1.7L,Bali & Nusa Tenggara,WH-SBY,63.0,67.61,42.33,Delivered
SO-500257,2025-03-23,SKU-1041,Cutting Tool Insert,Central Java,WH-JKT,229.0,49.63,34.42,Delivered
SO-500335,2025-02-18,SKU-1040,Air Filter Cartridge,Central Java,WH-SBY,249.0,207.59,115.38,Delivered
SO-500310,2025-09-14,SKU-1024,Electric Kettle 1.7L,Sumatra,WH-MKS,36.0,67.61,42.33,Delivered
SO-500250,2025-07-24,SKU-1025,Air Purifier Hepa,Sumatra,WH-MDN,178.0,298.8,212.95,Returned
SO-500400,2025-09-28,SKU-1006,Stainless Steel Rod,Central Java,WH-JKT,113.0,63.49,49.28,Delivered
SO-500235,2025-06-04,SKU-1014,Carton Tape 48Mm,West Java,WH-JKT,127.0,218.82,149.71,Delivered
SO-500230,2025-02-11,SKU-1023,Bluetooth Speaker Mini,Central Java,WH-SMG,19.0,273.05,168.61,Delivered
SO-500344,2025-02-09,SKU-1022,Stainless Steel Bottle 1L,West Java,WH-MKS,36.0,243.11,177.91,Delivered
SO-500371,2025-10-13,SKU-1024,Electric Kettle 1.7L,Central Java,WH-MKS,203.0,67.61,42.33,Delivered
SO-500431,2025-03-20,SKU-1040,Air Filter Cartridge,Bali & Nusa Tenggara,WH-MDN,198.0,207.59,115.38,Delivered
SO-500151,2025-10-17,SKU-1008,Silicone Sealant Bulk,West Java,WH-SBY,288.0,145.32,89.78,Delivered
SO-500051,2025-08-04,SKU-1000,Steel Coil 2Mm,West Java,WH-MDN,0.0,10.82,7.72,Cancelled
SO-500033,2025-06-30,SKU-1000,Steel Coil 2Mm,Bali & Nusa Tenggara,WH-SMG,204.0,10.82,7.72,Delivered
SO-500338,2025-07-04,SKU-1039,Safety Gloves Nitrile,West Java,WH-SBY,65.0,89.25,67.51,Delivered
SO-500463,2025-03-28,SKU-1017,Label Roll Thermal,Sulawesi,WH-MDN,258.0,291.85,190.85,Delivered
SO-500121,2025-11-14,SKU-1023,Bluetooth Speaker Mini,Sumatra,WH-SBY,78.0,273.05,168.61,Delivered
SO-500211,2025-07-17,SKU-1041,Cutting Tool Insert,East Java,WH-SMG,81.0,49.63,34.42,Delivered
